id,GSearch,GSearchNews
1,Cerca de 54 resultados (0.37 segundos) ,Cerca de 643 resultados (0.32 segundos) 
2,"Cerca de 10,600 resultados (0.32 segundos) ",Cerca de 105 resultados (0.14 segundos) 
3,"Cerca de 11,000 resultados (0.50 segundos) ",No results
4,"Cerca de 63,500 resultados (0.33 segundos) ",10 resultados (0.17 segundos) 
5,"Cerca de 124,000 resultados (0.34 segundos) ","Cerca de 1,190 resultados (0.17 segundos) "
6,"Cerca de 110,000,000 resultados (0.52 segundos) ","Cerca de 1,760,000 resultados (0.29 segundos) "
7,"Cerca de 1,540 resultados (0.35 segundos) ",No results
8,"Cerca de 316,000,000 resultados (0.37 segundos) ","Cerca de 12,100,000 resultados (0.33 segundos) "
9,"Cerca de 33,400 resultados (0.66 segundos) ",8 resultados (0.21 segundos) 
10,"Cerca de 39,200 resultados (0.58 segundos) ",3 resultados (0.22 segundos) 
11,"Cerca de 127,000 resultados (0.33 segundos) ",Cerca de 143 resultados (0.17 segundos) 
12,"Cerca de 6,550,000 resultados (0.40 segundos) ","Cerca de 78,000 resultados (0.31 segundos) "
13,"Cerca de 80,000 resultados (0.37 segundos) ",Cerca de 449 resultados (0.20 segundos) 
14,"Cerca de 4,100,000 resultados (0.50 segundos) ","Cerca de 458,000 resultados (0.26 segundos) "
15,"Cerca de 7,330 resultados (0.44 segundos) ",No results
16,"Cerca de 1,190,000 resultados (0.56 segundos) ","Cerca de 21,800 resultados (0.29 segundos) "
17,"Cerca de 34,700 resultados (0.54 segundos) ",No results
18,"Cerca de 42,300 resultados (0.58 segundos) ",No results
19,"Cerca de 14,000,000 resultados (0.52 segundos) ","Cerca de 53,900 resultados (0.25 segundos) "
20,"Cerca de 56,600 resultados (0.65 segundos) ",10 resultados (0.25 segundos) 
21,"Cerca de 24,700 resultados (0.42 segundos) ","Cerca de 4,850 resultados (0.19 segundos) "
22,"Cerca de 11,000 resultados (0.62 segundos) ",4 resultados (0.19 segundos) 
23,"Cerca de 58,000 resultados (0.48 segundos) ",Cerca de 30 resultados (0.20 segundos) 
24,"Cerca de 7,160 resultados (0.56 segundos) ",10 resultados (0.27 segundos) 
25,9 resultados (0.52 segundos) ,2 resultados (0.22 segundos) 
26,"Cerca de 218,000 resultados (0.52 segundos)",Cerca de 429 resultados (0.24 segundos) 
27,"Cerca de 612,000 resultados (0.63 segundos) ","Cerca de 27,500 resultados (0.26 segundos) "
28,"Cerca de 34,800 resultados (0.75 segundos) ",Cerca de 185 resultados (0.39 segundos) 
29,"Cerca de 207,000 resultados (0.65 segundos) ",Cerca de 834 resultados (0.21 segundos) 
30,"Cerca de 3,010,000 resultados (0.47 segundos) ","Cerca de 74,400 resultados (0.25 segundos) "
31,"Cerca de 85,200 resultados (0.38 segundos) ","Cerca de 1,970 resultados (0.23 segundos) "
32,"Cerca de 38,200 resultados (0.95 segundos) ","Cerca de 182,000 resultados (0.63 segundos) "
33,Cerca de 322 resultados (0.41 segundos) ,4 resultados (0.24 segundos) 
34,"Cerca de 805,000 resultados (0.62 segundos) ","Cerca de 35,000 resultados (0.31 segundos) "
35,"Cerca de 47,800 resultados (0.52 segundos) ",Cerca de 458 resultados (0.24 segundos) 
36,"Cerca de 8,840 resultados (0.51 segundos) ",3 resultados (0.20 segundos) 
37,"Cerca de 8,890,000 resultados (0.64 segundos) ","Cerca de 67,700 resultados (0.28 segundos) "
38,"Cerca de 92,000 resultados (0.44 segundos) ",Cerca de 501 resultados (0.20 segundos) 
39,Cerca de 75 resultados (0.38 segundos) ,No results
40,"Cerca de 12,800 resultados (0.48 segundos) ",Cerca de 217 resultados (0.21 segundos) 
41,"Cerca de 521,000 resultados (0.57 segundos) ","Cerca de 7,270 resultados (0.26 segundos) "
42,"Cerca de 18,300 resultados (0.63 segundos) ",9 resultados (0.30 segundos) 
43,"Cerca de 34,000 resultados (0.54 segundos) ",No results
44,"Cerca de 250,000 resultados (0.60 segundos) ","Cerca de 2,780 resultados (0.30 segundos) "
45,"Cerca de 356,000 resultados (0.62 segundos) ",Cerca de 263 resultados (0.27 segundos) 
46,"Cerca de 347,000 resultados (0.54 segundos) ","Cerca de 7,660 resultados (0.34 segundos) "
47,"Cerca de 57,300 resultados (0.43 segundos) ",Cerca de 810 resultados (0.21 segundos) 
48,Cerca de 138 resultados (0.45 segundos) ,2 resultados (0.28 segundos) 
49,"Cerca de 104,000 resultados (0.48 segundos) ",10 resultados (0.23 segundos) 
50,"Cerca de 13,800 resultados (0.56 segundos) ",No results
51,Cerca de 144 resultados (0.41 segundos) ,1 resultado (0.23 segundos) 
52,"Cerca de 726,000 resultados (0.55 segundos) ","Cerca de 23,700 resultados (0.25 segundos) "
53,"Cerca de 32,400 resultados (0.55 segundos) ",Cerca de 286 resultados (0.19 segundos) 
54,"Cerca de 8,950 resultados (0.54 segundos) ",Cerca de 36 resultados (0.25 segundos) 
55,"Cerca de 844,000 resultados (0.57 segundos) ","Cerca de 22,700 resultados (0.30 segundos) "
56,"Cerca de 284,000 resultados (0.62 segundos) ","Cerca de 11,500 resultados (0.30 segundos) "
57,"Cerca de 504,000 resultados (0.67 segundos) ",Cerca de 175 resultados (0.27 segundos) 
58,"Cerca de 139,000 resultados (0.62 segundos) ","Cerca de 7,880 resultados (0.29 segundos) "
59,"Cerca de 648,000 resultados (0.61 segundos) ","Cerca de 6,170 resultados (0.27 segundos) "
60,"Cerca de 1,240,000 resultados (0.60 segundos) ","Cerca de 69,900 resultados (0.27 segundos) "
61,"Cerca de 207,000 resultados (0.48 segundos) ","Cerca de 14,500 resultados (0.26 segundos) "
62,"Cerca de 134,000 resultados (0.52 segundos) ","Cerca de 9,180 resultados (0.22 segundos) "
63,"Cerca de 7,300 resultados (0.53 segundos) ",No results
64,"Cerca de 315,000 resultados (0.58 segundos) ","Cerca de 6,460 resultados (0.30 segundos) "
65,"Cerca de 10,600 resultados (0.49 segundos) ",No results
66,"Cerca de 421,000 resultados (0.60 segundos) ","Cerca de 3,060 resultados (0.32 segundos) "
67,Cerca de 847 resultados (0.63 segundos) ,1 resultado (0.31 segundos) 
68,"Cerca de 159,000 resultados (0.55 segundos) ",Cerca de 738 resultados (0.34 segundos) 
69,"Cerca de 21,800 resultados (0.47 segundos) ",No results
70,"Cerca de 261,000 resultados (0.61 segundos) ",Cerca de 519 resultados (0.38 segundos) 
71,"Cerca de 104,000 resultados (0.60 segundos) ","Cerca de 2,640 resultados (0.29 segundos) "
72,"Cerca de 69,200 resultados (0.70 segundos) ","Cerca de 2,610 resultados (0.29 segundos) "
73,"Cerca de 354,000 resultados (0.71 segundos) ","Cerca de 9,130 resultados (0.33 segundos) "
74,"Cerca de 12,900 resultados (0.57 segundos) ",2 resultados (0.25 segundos) 
75,"Cerca de 72,800 resultados (0.40 segundos) ",Cerca de 80 resultados (0.18 segundos) 
76,Cerca de 8 resultados (0.51 segundos) ,No results
77,Cerca de 9 resultados (0.51 segundos) ,No results
78,"Cerca de 25,500 resultados (0.49 segundos) ",5 resultados (0.26 segundos) 
79,"Cerca de 11,500 resultados (0.62 segundos) ",7 resultados (0.24 segundos) 
80,"Cerca de 6,780 resultados (0.43 segundos) ",5 resultados (0.24 segundos) 
81,10 resultados (0.73 segundos) ,6 resultados (0.23 segundos) 
82,"Cerca de 527,000 resultados (0.54 segundos) ","Cerca de 3,950 resultados (0.29 segundos) "
83,"Cerca de 2,050,000 resultados (0.58 segundos) ","Cerca de 216,000 resultados (0.33 segundos) "
84,"Cerca de 94,300 resultados (0.46 segundos) ",Cerca de 396 resultados (0.23 segundos) 
85,Cerca de 49 resultados (0.56 segundos) ,No results
86,"Cerca de 689,000 resultados (0.56 segundos) ","Cerca de 2,610 resultados (0.24 segundos) "
87,"Cerca de 277,000 resultados (0.45 segundos) ","Cerca de 4,010 resultados (0.22 segundos) "
88,"Cerca de 25,800,000 resultados (0.61 segundos) ","Cerca de 74,400 resultados (0.42 segundos) "
89,"Cerca de 1,720,000 resultados (0.63 segundos) ","Cerca de 66,900 resultados (0.30 segundos) "
90,"Cerca de 5,930 resultados (0.47 segundos) ",10 resultados (0.22 segundos) 
91,"Cerca de 2,630 resultados (0.42 segundos) ",Cerca de 137 resultados (0.23 segundos) 
92,"Cerca de 410,000 resultados (0.60 segundos) ","Cerca de 5,870 resultados (0.33 segundos) "
93,"Cerca de 238,000 resultados (0.41 segundos) ","Cerca de 23,700 resultados (0.23 segundos) "
94,"Cerca de 193,000 resultados (0.56 segundos) ","Cerca de 22,800 resultados (0.29 segundos) "
95,Cerca de 933 resultados (0.39 segundos) ,8 resultados (0.17 segundos) 
96,"Cerca de 7,170,000 resultados (0.71 segundos) ","Cerca de 188,000 resultados (0.27 segundos) "
97,"Cerca de 61,700 resultados (0.50 segundos) ",3 resultados (0.22 segundos) 
98,"Cerca de 594,000 resultados (0.51 segundos) ","Cerca de 27,700 resultados (0.25 segundos) "
99,"Cerca de 326,000 resultados (0.44 segundos) ","Cerca de 1,780 resultados (0.23 segundos) "
100,"Cerca de 73,000 resultados (0.65 segundos) ",2 resultados (0.22 segundos) 
101,"Cerca de 250,000 resultados (0.44 segundos) ","Cerca de 5,240 resultados (0.32 segundos) "
102,"Cerca de 56,100 resultados (0.51 segundos) ",10 resultados (0.23 segundos) 
103,"Cerca de 8,120 resultados (0.56 segundos) ",7 resultados (0.27 segundos) 
104,"Cerca de 7,440 resultados (0.51 segundos) ",3 resultados (0.22 segundos) 
105,"Cerca de 752,000 resultados (0.58 segundos) ","Cerca de 34,800 resultados (0.29 segundos) "
106,"Cerca de 245,000 resultados (0.60 segundos)",Cerca de 780 resultados (0.31 segundos) 
107,Cerca de 135 resultados (0.38 segundos) ,1 resultado (0.20 segundos) 
108,"Cerca de 6,580,000 resultados (0.75 segundos) ","Cerca de 167,000 resultados (0.24 segundos) "
109,"Cerca de 640,000 resultados (0.57 segundos) ","Cerca de 14,200 resultados (0.37 segundos) "
110,"Cerca de 180,000 resultados (0.53 segundos) ","Cerca de 3,670 resultados (0.30 segundos) "
111,"Cerca de 3,270,000 resultados (0.65 segundos) ","Cerca de 73,000 resultados (0.25 segundos) "
112,Cerca de 3 resultados (0.41 segundos) ,"Cerca de 89,900 resultados (0.46 segundos) "
113,"Cerca de 195,000 resultados (0.52 segundos) ","Cerca de 6,240 resultados (0.25 segundos) "
114,"Cerca de 68,700 resultados (0.64 segundos) ",Cerca de 324 resultados (0.25 segundos) 
115,"Cerca de 5,610,000 resultados (0.50 segundos) ","Cerca de 105,000 resultados (0.27 segundos) "
116,"Cerca de 121,000 resultados (0.41 segundos) ","Cerca de 4,340 resultados (0.23 segundos) "
117,"Cerca de 2,440,000 resultados (0.58 segundos) ","Cerca de 3,740 resultados (0.40 segundos) "
118,"Cerca de 10,600 resultados (0.61 segundos) ",Cerca de 35 resultados (0.20 segundos) 
119,"Cerca de 899,000 resultados (0.67 segundos) ","Cerca de 9,980 resultados (0.29 segundos) "
120,"Cerca de 33,000 resultados (0.46 segundos) ",3 resultados (0.19 segundos) 
121,"Cerca de 28,200 resultados (0.50 segundos) ",3 resultados (0.22 segundos) 
122,"Cerca de 670,000 resultados (0.62 segundos) ",Cerca de 229 resultados (0.30 segundos) 
123,"Cerca de 1,070,000 resultados (0.48 segundos) ","Cerca de 94,100 resultados (0.27 segundos) "
124,"Cerca de 710,000 resultados (0.59 segundos) ","Cerca de 4,030 resultados (0.30 segundos) "
125,"Cerca de 1,060,000 resultados (0.53 segundos) ","Cerca de 7,880 resultados (0.29 segundos) "
126,Cerca de 44 resultados (0.44 segundos) ,No results
127,"Cerca de 47,200 resultados (0.63 segundos) ",No results
128,"Cerca de 121,000 resultados (0.56 segundos) ","Cerca de 2,180 resultados (0.29 segundos) "
129,10 resultados (0.47 segundos) ,No results
130,"Cerca de 900,000 resultados (0.46 segundos) ","Cerca de 12,500 resultados (0.21 segundos) "
131,"Cerca de 50,400 resultados (0.51 segundos) ",4 resultados (0.29 segundos) 
132,"Cerca de 49,800 resultados (0.54 segundos) ",8 resultados (0.26 segundos) 
133,Cerca de 9 resultados (0.38 segundos) ,Cerca de 248 resultados (0.19 segundos) 
134,"Cerca de 8,560,000 resultados (0.46 segundos) ","Cerca de 802,000 resultados (0.27 segundos) "
135,"Cerca de 1,060,000 resultados (0.46 segundos) ","Cerca de 22,400 resultados (0.24 segundos) "
136,10 resultados (0.46 segundos) ,No results
137,"Cerca de 76,600 resultados (0.39 segundos) ",1 resultado (0.21 segundos) 
138,"Cerca de 113,000 resultados (0.55 segundos) ",8 resultados (0.24 segundos) 
139,"Cerca de 2,530 resultados (0.55 segundos) ",Cerca de 52 resultados (0.27 segundos) 
140,"Cerca de 3,940,000 resultados (0.43 segundos) ","Cerca de 25,900 resultados (0.30 segundos) "
141,"Cerca de 22,100 resultados (0.50 segundos) ",Cerca de 190 resultados (0.20 segundos) 
142,"Cerca de 771,000 resultados (0.60 segundos) ",Cerca de 666 resultados (0.34 segundos) 
143,"Cerca de 44,900 resultados (0.45 segundos) ",Cerca de 31 resultados (0.18 segundos) 
144,"Cerca de 19,400,000 resultados (0.39 segundos) ","Cerca de 5,510,000 resultados (0.28 segundos) "
145,"Cerca de 1,570 resultados (0.57 segundos) ",2 resultados (0.22 segundos) 
146,"Cerca de 272,000 resultados (0.48 segundos) ","Cerca de 1,710 resultados (0.24 segundos) "
147,"Cerca de 41,800 resultados (0.50 segundos) ",Cerca de 288 resultados (0.21 segundos) 
148,"Cerca de 22,100 resultados (0.40 segundos) ",Cerca de 51 resultados (0.19 segundos) 
149,"Cerca de 99,000 resultados (0.46 segundos) ","Cerca de 1,520 resultados (0.22 segundos) "
150,Cerca de 9 resultados (0.47 segundos) ,No results
151,"Cerca de 743,000 resultados (0.53 segundos)","Cerca de 6,470 resultados (0.26 segundos) "
152,"Cerca de 202,000 resultados (0.74 segundos) ","Cerca de 2,950 resultados (0.51 segundos) "
153,"Cerca de 186,000 resultados (0.59 segundos) ",Cerca de 618 resultados (0.21 segundos) 
154,"Cerca de 27,000 resultados (0.44 segundos) ","Cerca de 4,590 resultados (0.26 segundos) "
155,"Cerca de 184,000 resultados (0.53 segundos) ",Cerca de 640 resultados (0.23 segundos) 
156,"Cerca de 7,600,000 resultados (0.48 segundos) ","Cerca de 113,000 resultados (0.25 segundos) "
157,Cerca de 105 resultados (0.42 segundos) ,No results
158,"Cerca de 4,390,000 resultados (0.50 segundos) ","Cerca de 107,000 resultados (0.26 segundos) "
159,"Cerca de 81,200 resultados (0.47 segundos) ","Cerca de 4,520 resultados (0.28 segundos) "
160,"Cerca de 131,000 resultados (0.43 segundos) ",Cerca de 942 resultados (0.31 segundos) 
161,10 resultados (0.47 segundos) ,No results
162,"Cerca de 617,000 resultados (0.53 segundos) ","Cerca de 31,600 resultados (0.31 segundos) "
163,"Cerca de 325,000 resultados (0.42 segundos) ","Cerca de 1,890 resultados (0.21 segundos) "
164,"Cerca de 125,000 resultados (0.51 segundos) ",Cerca de 516 resultados (0.26 segundos) 
165,"Cerca de 455,000 resultados (0.54 segundos) ","Cerca de 6,680 resultados (0.28 segundos) "
166,"Cerca de 603,000 resultados (0.50 segundos) ","Cerca de 18,100 resultados (0.27 segundos) "
167,"Cerca de 275,000 resultados (0.38 segundos) ","Cerca de 1,300 resultados (0.21 segundos) "
168,"Cerca de 17,100 resultados (0.50 segundos) ",No results
169,"Cerca de 99,500,000 resultados (0.54 segundos) ","Cerca de 33,800,000 resultados (0.28 segundos) "
170,"Cerca de 23,500 resultados (0.48 segundos) ",Cerca de 973 resultados (0.24 segundos) 
171,"Cerca de 48,500 resultados (0.51 segundos) ",Cerca de 248 resultados (0.26 segundos) 
172,"Cerca de 451,000 resultados (0.59 segundos) ","Cerca de 5,920 resultados (0.25 segundos) "
173,Cerca de 607 resultados (0.70 segundos) ,No results
174,"Cerca de 473,000 resultados (0.50 segundos)","Cerca de 1,110 resultados (0.26 segundos) "
175,"Cerca de 33,200 resultados (0.48 segundos) ","Cerca de 1,160 resultados (0.24 segundos) "
176,"Cerca de 53,200 resultados (0.47 segundos) ",Cerca de 401 resultados (0.19 segundos) 
177,Cerca de 4 resultados (0.36 segundos) ,Cerca de 259 resultados (0.34 segundos) 
178,"Cerca de 1,980,000 resultados (0.63 segundos) ","Cerca de 59,200 resultados (0.32 segundos) "
179,"Cerca de 3,970 resultados (0.59 segundos) ",1 resultado (0.22 segundos) 
180,"Cerca de 28,100 resultados (0.57 segundos) ",2 resultados (0.21 segundos) 
181,"Cerca de 626,000 resultados (0.62 segundos) ","Cerca de 6,490 resultados (0.25 segundos) "
182,"Cerca de 336,000 resultados (0.56 segundos) ",Cerca de 573 resultados (0.22 segundos) 
183,"Cerca de 10,300 resultados (0.47 segundos) ",7 resultados (0.20 segundos) 
184,"Cerca de 156,000 resultados (0.49 segundos) ","Cerca de 1,680 resultados (0.23 segundos) "
185,"Cerca de 58,500 resultados (0.58 segundos) ",Cerca de 143 resultados (0.20 segundos) 
186,"Cerca de 29,200 resultados (0.49 segundos) ",Cerca de 325 resultados (0.20 segundos) 
187,"Cerca de 4,630 resultados (0.42 segundos) ",2 resultados (0.22 segundos) 
188,"Cerca de 127,000 resultados (0.58 segundos) ",Cerca de 208 resultados (0.23 segundos) 
189,"Cerca de 122,000 resultados (0.46 segundos) ","Cerca de 3,420 resultados (0.22 segundos) "
190,"Cerca de 1,720,000 resultados (0.54 segundos) ","Cerca de 43,100 resultados (0.26 segundos) "
191,"Cerca de 2,580,000 resultados (0.95 segundos) ","Cerca de 28,600 resultados (0.33 segundos) "
192,"Cerca de 282,000 resultados (0.67 segundos) ","Cerca de 2,380 resultados (0.25 segundos) "
193,"Cerca de 41,000 resultados (0.56 segundos) ",Cerca de 255 resultados (0.27 segundos) 
194,"Cerca de 426,000 resultados (0.49 segundos) ","Cerca de 4,750 resultados (0.23 segundos) "
195,Cerca de 60 resultados (0.45 segundos) ,No results
196,"Cerca de 25,400 resultados (0.52 segundos) ",1 resultado (0.21 segundos) 
197,"Cerca de 10,300 resultados (0.55 segundos) ",No results
198,"Cerca de 84,800 resultados (0.49 segundos) ",9 resultados (0.20 segundos) 
199,"Cerca de 16,800 resultados (0.55 segundos) ",Cerca de 36 resultados (0.25 segundos) 
200,"Cerca de 580,000 resultados (0.56 segundos) ","Cerca de 8,540 resultados (0.33 segundos) "
201,"Cerca de 12,000,000 resultados (0.59 segundos) ","Cerca de 14,700 resultados (0.32 segundos) "
202,"Cerca de 1,320,000 resultados (0.52 segundos) ","Cerca de 35,200 resultados (0.27 segundos) "
203,"Cerca de 222,000 resultados (0.50 segundos) ","Cerca de 13,900 resultados (0.27 segundos) "
204,"Cerca de 241,000 resultados (0.84 segundos) ",Cerca de 486 resultados (0.21 segundos) 
205,"Cerca de 16,600 resultados (0.49 segundos) ",No results
206,"Cerca de 2,460,000 resultados (0.47 segundos) ","Cerca de 181,000 resultados (0.23 segundos) "
207,"Cerca de 1,500,000 resultados (0.46 segundos) ","Cerca de 6,810 resultados (0.21 segundos) "
208,"Cerca de 102,000 resultados (0.51 segundos) ",Cerca de 53 resultados (0.18 segundos) 
209,"Cerca de 740,000 resultados (0.46 segundos) ","Cerca de 14,800 resultados (0.23 segundos) "
210,"Cerca de 233,000 resultados (0.51 segundos) ","Cerca de 2,270 resultados (0.21 segundos) "
211,"Cerca de 419,000 resultados (0.58 segundos)","Cerca de 3,560 resultados (0.30 segundos) "
212,"Cerca de 4,780,000 resultados (0.46 segundos) ","Cerca de 119,000 resultados (0.34 segundos) "
213,"Cerca de 418,000 resultados (0.49 segundos) ","Cerca de 16,600 resultados (0.25 segundos) "
214,"Cerca de 82,100 resultados (0.65 segundos) ",Cerca de 92 resultados (0.30 segundos) 
215,"Cerca de 11,000 resultados (0.41 segundos) ",3 resultados (0.20 segundos) 
216,"Cerca de 490,000 resultados (0.53 segundos) ","Cerca de 3,570 resultados (0.29 segundos) "
217,"Cerca de 92,400 resultados (0.45 segundos) ","Cerca de 4,800 resultados (0.24 segundos) "
218,"Cerca de 629,000 resultados (0.61 segundos) ","Cerca de 32,300 resultados (0.35 segundos) "
219,"Cerca de 7,640,000 resultados (0.41 segundos) ","Cerca de 2,980 resultados (0.22 segundos) "
220,"Cerca de 8,220 resultados (0.42 segundos) ",Cerca de 116 resultados (0.21 segundos) 
221,"Cerca de 48,200 resultados (0.48 segundos) ",Cerca de 814 resultados (0.22 segundos) 
222,"Cerca de 1,160,000 resultados (0.63 segundos) ","Cerca de 77,500 resultados (0.34 segundos) "
223,"Cerca de 507,000 resultados (0.45 segundos) ","Cerca de 9,560 resultados (0.26 segundos) "
